,Latin Name,Common Name,Description,Light
0,Adiantum fragrans,Maidenhair Fern,"
                                                        An elegant houseplant with black stalks and yellowy green, triangular fronds which appear soft and lacey due to lobed segments in the foliage. Often grown in terrariums as they love humidity and are known to flourish in a steamy bathroom or kitchen.
Ultimate indoor height 30-
                                                    ","

"
1,Aechmea 'Blue Rain',Blue rain Bromeliad,"
                                                        A Truly stunning plant, and very very easy to look after. A very long lasting Blue and red flower spike with deep green glossy leaves. A real statement plant.
                                                    ","

"
2,Aeschynanthus japhrolepis,Lipstick Plant,"
                                                        An easy to look after flowering indoor trailer. Deep red flowers form mid to late summer, prolific flowering if the conditions are right. This great climber from Indonesia can trail up to 1.5 meters!
                                                    ","

"
3,Aeschynanthus marmoratus,Zebra Basket Vine,"
                                                        This is a lovely dark green trailing house plant with oval shaped leaves with wonderful detailing in purple. Perfect for hanging baskets. The foliage really is stunning enough but it also flowers (ours here have not yet) 
                                                    ","

"
4,Aeschynanthus pulcher 'Mona Lisa',Lipstick plant,"
                                                        A very easy to look after flowering trailer. Dark green glossy leaves and a stunning bight red flower. Needs good light to get the best flowering. 
                                                    ","

"
5,Aglaonema Christine,Chinese evergreen,"
                                                        Aglaonemas are ideally suited where an attractive foliage display is needed for those shady corners. Large spear shaped leaves are usually decoratively variegated with greys, greens and yellows. They are tough indoor plants and are not especially difficult in a typical domestic e
                                                    ","

"
6,Aglaonema cutlass,Chinese evergreen,"
                                                        Another tough Chinese evergreen. Bold markings on the large thin leaves. Good for low light as well as those of us who are a little erratic with watering!
                                                    ","

"
7,Aloe Vera,Aloe Vera,"
                                                        Noted for its healing properties the Aloe vera plant is very popular in everything from cosmetics to medicinal uses. Apart from this it is also a great houseplant, easy to look after, oxygenates the air and looks great. An easy way to grow fresh air and plasters at the same time!
                                                    ","

"
8,Araucaria cunninghamii 'Bonsai',Hoop Pine,"
                                                        One of the best houseplants and also one of the least known about. A cousin of the equally interesting monkey puzzle the Hoop Pine is a great indoor conifer. The needles (can be a little sharp when older) are a wonderful green/blue colour with the new growth ranging from blues to
                                                    ","

"
9,Araucaria heterophylla,Norfolk Island Pine,"
                                                        This houseplant is cousin of the equally interesting monkey puzzle the Norfolk Island Pine is a great indoor conifer. Soft needles cover the tiered branches and stem giving the plant the appearance of an exotic Christmas tree. It can be seen as large specimens outside in warmer c
                                                    ","

"
10,Aspidistra elatior,Cast Iron Plant,"
                                                        Aspidistra is a Victorian favourite related to the Dracaena and Beaucarnea now making a comeback because, as its common name suggests, it is almost impossible to kill. In the United States of America it's has been known as the Barroom Plant, because it could even live in the smo
                                                    ","

"
11,Asplenium 'Leslie',Bird's Nest Fern,"
                                                        A lush, leathery-leaved unusual fern with lance-shaped fronds, each with a slightly wavy edge. Native to eastern Asia, it commonly grows on tree trunks, cliffs and forests. Although endangered in the wild, it is a popular ornamental houseplant throughout Europe and the United St
                                                    ","

"
12,Asplenium Parvati,,"
                                                        Originally from Easten Aisa this plant is a hybrid fern which is why it displays 2 different types of leaves: Lacy and Maidenhair. A much easier alternative to the Boston fern. Loves being repotted in the spring.
                                                    ","

"
13,Beaucarnea recurvata,Pony Tail Palm,"
                                                        Beaucarneas are curious plants with a heavily swollen base and grass like foliage giving it a unique appearance. The the stem is used to store water which is a great help to those of us that forget the odd watering or are absent for a week or so. From 8 foot specimens to dinky in
                                                    ","

"
14,Begonia maculata 'Wightii',Spotted begonia,"
                                                        This is not your average hanging basket begonia but a tropical talking point! The long leaves have a lovely red backing as well as the striking symetrical patterning on the front. Warmth is the key with these plants this along with good light they will thrive.

                                                    ","

"
15,Calathea lancifolia,Rattlesnake plant,"
                                                        Another beautiful Calathea from Brazil. Very bold markings on long elegant leaves. Great as a stand alone plant or as part of a tropical display.
                                                    ","

"
16,Calathea orbifolia,Peacock Plant,"
                                                        In vogue at the moment this luxurious Calathea is a true stunner! Very very large leaves with subtle colouration adorne this shade loving specimen.
                                                    ","

"
17,Calathea roseopicta,Rose painted Calathea,"
                                                        Large round leaves with a colourful almost stained glass quality to the top with intricate and bold symmetrical designs. The underneath of the leaves are a lovely rich purple. Great for darker warm rooms and offices.
                                                    ","

"
18,Calathea rufibarba,Velvet Calathea,"
                                                        The most tactile of houseplants, the leaves do really feel like the softest velvet. Not as bright as a lot of this family the leaves are a rich green on the top and a dark burgandy underneath. Long and arching form great for many interior design schemes.
                                                    ","

"
19,Calathea sanderiana,Pin Stripe Calathea,"
                                                        One of the larger Calathea varieties. A glossy indoor plant with distrinctive dark green leaves with fishbone-like stripes. The stripes have pink overtones and will turn white when the plant ages. The underside of the leaf are a beautiful purple color. It will add colour the h
                                                    ","

"
20,Ceropegia woodii,String of Hearts,"
                                                        This stunning evergreen succulent is a trailing vine that can spread up to 4 meters in length and 10cm in height. The leaves are shaped like hearts (hence the name) and are deep green with variegated silver markings. The stems are wire-thin and pinkish.
Discovered in 1881 by John
                                                    ","

"
21,Chamaedorea elegans,Parlour palm,"
                                                        For over a century Parlour palms have enjoyed a place in the British home. A low growing palm (up to 3 feet high) that is very tough it will tolerate a lot of abuse but with a small amount of care will thrive. Great in almost any room of the house
                                                    ","

"
22,Chamaedorea metallica,Metallic Palm,"
                                                        A lesser known relative of the parlour palm, but just as easy. the wide fishtail like leaves have an almost metallic sheen, hence the name. Very slow growing but worth the wait! Great in almost any room of the house.
                                                    ","

"
23,Chamaedorea seifrizii,Bamboo Palm,"
                                                        As the name suggests this lovely palm has arching cane like stems that resemble bamboo. Very easy to look after and will cope with a wide range of positions. 
                                                    ","

"
24,Chlorophytum comosum Variegata,Spider Plant,"
                                                        Very common in homes but very very hard to buy. Incredibly easy. Grows almost anywhere in the house apart from under the stairs! Becoming increasingly popular.
                                                    ","

"
25,Chrysalidocarpus lutescens,Areca Palm,"
                                                        Areca palm. A great value bushy palm for a bright spot. Looking like a large bushy parlour palm the it is a great choice if you need a dense tall specimen. Needing a little more care than the parlour or kentia palm but the result is a magnificent plant. Great if you have a bright
                                                    ","

"
26,Cissus rhombifolia,Grape Ivy,"
                                                        A common plant in the 70s and 80s now a real rarity. Brilliant if you are after an easy trailing plant to drape over or climb. Will tolerate a range of light conditions and will grow quickly if looked after.
                                                    ","

"
27,Codiaeum 'Iceton',Croton Iceton,"
                                                        Looking for a colourful yet stylish plant? This is it, Reds, pinks, yellows and greens adorn this lovely plant. Another plant that really lends itself to tall containers.
                                                    ","

"
28,Codiaeum variegatum 'Petra',Croton Petra,"
                                                        A well known plant grown in gardens in tropical areas all over the world. A kaleidoscope of colours which change with the age of the leaf adorn this lovely tree. Super choice for bright rooms.
                                                    ","

"
29,Crassula 'Horntree',Hobbit Jade,"
                                                        An interesting cultivar of Crassula with tube like leaves resembling little hunting horns. The overall effect is almost coral like. Its just as easy as the more common Jade plant.  Use a well drained compost and do not overwater especially over winter.
                                                    ","

"
30,Crassula 'Hummel's Sunset',Golden Jade tree,"
                                                        With a bright splash of colour this is a hard to find variety of money tree. The leaves have yellow and red margins that become even more distinct over the winter months. Bright light is best but constant direct sunlight will dull the colours as will not enough light. Use a well 
                                                    ","

"
31,Crassula minor,Mini Jade Plant,"
                                                        A lesser known Money tree with small compact leaves. The tidy growth habit gives it a look of a bonsai, very interesting and an easy plant for any bright location
                                                    ","

"
32,Crassula ovata,Money tree,"
                                                        A well known and loved succulent. Easy to look after and will in a few years become a magnificent specimen.  Use a well drained compost and do not overwater especially over winter.
                                                    ","

"
33,Davallia canariensis,Hare's Foot Fern,"
                                                        What a scary plant! Davallia is like a cross between an asparagus and a tarantula. Little known and hard to forget Davallia is great for a bathroom but don't flush it down the plughole!
                                                    ","

"
34,Dieffenbachia,Dumb Cane,"
                                                        Lovely foliage plants with large, usually variegated leaves. They will grow large, up to 2 metres tall, given the right conditions and care.
CAUTION - the sap is poisonous and great care must be taken not to get sap on hands and to keep the plant away from children.
                                                    ","

"
35,Dischidia nummularia,String of nickels,"
                                                        A hard to find climbing houseplant with trailing strands of succulent, oval shaped leaves. It is an Epiphyte plant, meaning in the wild it will attach itself to trees or creep along branches, draping itself like curtains of green.
 Native to a wide range of tropical settings 
                                                    ","

"
36,Dracaena 'Lemon and Lime',Dragon Tree 'Lemon and Lime',"
                                                        The name gives it away really! Broad leaves with bright green edges and a dark green mid band give this lovely plant a vibrant colourful look. As a bonus the canes are marbled with green and white.
                                                    ","

"
37,Dracaena compacta,Compact Dragon tree,"
                                                        Super stylish this dracaena is right up to date with modern decor. As the name suggests the dark green leaves are small and grow in tidy, compact profusion around the slow growing branches. A must for the modern room.
                                                    ","

"
38,Dracaena deremensis 'Janet Craig',Dragon Tree 'Janet Craig',"
                                                        Bold and simple wide dark green leaves form the large crown of this choice Dracaena. A wonderful choice for a room or office with contemporary design. Although slower growing than d. marginata it will still reach a height of 6-7 feet. One of our most popular plants. Easy to care 
                                                    ","

"
39,Dracaena deremensis warneckii,Dragon Tree warneckii,"
                                                        A striking foliage plant. White bands of varying width run along each leaf blade creating a dazzling effect. A great choice if you are looking for a smaller specimen plant that is slow growing.
                                                    ","

"
40,Dracaena marginata,Madagascar Dragon Tree,"
                                                        Easy foliage houseplant with thin variegated leaves. Keep the humidity up to stop leaf drop. A great plant for kitchens. The branched specimens (as photo on left) really are beautiful with aged trunk and very bushy crowns.
                                                    ","

"
41,Dracaena reflexa 'Anita',Pleomele Anita,"
                                                        These beautiful branched specimens are perfect if you are after something different and stylish. Consider using Cubico containers to give it even more Height to create a stunning specimen planting.We do have larger plants here at the nursery please phone for details.
                                                    ","

"
42,Epiphyllum anguliger,Fishbone cactus,"
                                                        A very very unusual epiphytic (Grows on other plants) cactus. Amazing long wavey leaves and a stunning flower.
Needs to be hung somewhere to get the best view. They seem easy to grow we have been trialing them for a year now and no problems!
                                                    ","

"
43,Epipremnum aureum (Scindapsus aureus),Devils Ivy,"
                                                        A large leaved climber with heart shaped leaves similar to Philodendron but with a yellow marbled variegation. Out of the stem grow aerial roots which are best given a moss pole to cling to, misting the pole occasionally will give you a much healthier plant. There are other culti
                                                    ","

"
44,Ficus benghalensis,Bengal Fig,"
                                                        Not a very well known type of fig, large leaves a little like rubber plant have wonderfully elegant pale green veins that show up beautifully against the dark green of the leaf. Not difficult to look after and is a great choice if you are looking for something a little more unusu
                                                    ","

"
45,Ficus benjamina,Weeping fig,"
                                                        One of the best known and widely used houseplants. This is for a good reason, glossy leaves grow in profusion creating the classic indoor tree. Keep out of draughts and away from radiators to avoid the 'weeping' and keep the fig. Over winter it will need watering less frequently 
                                                    ","

"
46,Ficus binnendijkii 'Alii',Long leaved fig,"
                                                        A lovely variety of fig with long graceful leaves. A good choice of specimen for an elegant bright room. The new leaves can be a peach colour with reddish stems giving more interest to this lovely plant.
                                                    ","

"
47,Ficus binnendijkii 'Amstel King',Fig Tree,"
                                                        A choice fig for a bright position. Large leaves with a red tint on the new growth adorne this lush robust specimen. A great alternative to the more common weeping fig.
                                                    ","

"
48,Ficus cyathistipula,African fig tree,"
                                                        An unusual indoor plant, this fig originates from central Africa and has long rounded dark green leaves. Quite quick growing in the right spot in your house and will tolerate lower light levels. Great if you want to grow an indoor tree! Undemanding, provided it is not over-watere
                                                    ","

"
49,Ficus elastica 'Bali',Rubber Plant,"
                                                        Very well known spiecies of fig. The rubber plant is a very easy plant to look after. It can grow large and loose leaves at the base of the plant but can be cut back over the winter when the rubber sap will not fill up the pot! 'Bali' is a great cultivar with bright red leaf shea
                                                    ","

"
50,Ficus lyrata,Fiddle leaf fig,"
                                                         The Fiddle leaf fig, glorious and exotic indoor tree . Branches will grow from the leaf bases in time creating a wonderfully tropical specimen. Unbelievably fashionable its 'the' plant of the decade, so far! It is not hard but prefers a bright spot, near a window (South, Eas
                                                    ","

"
51,Ficus microcarpa,Chinese Banyan,"
                                                        Bizarre bonsai like fig from tropical and sub tropical areas. Succulent like leaves and contorted trunk create a fascinating plant Treat like most indoor figs water when dry over the summer and don't move it from place to place.
                                                    ","

"
52,Ficus nitida,Indian laurel,"
                                                        Ficus nitida aslo known as Indian laurel. It has a lovely silvery bark with larger leaves than the well known Ficus benjamina. The glossy leaves grow in profusion creating the classic indoor tree. Keep out of draughts and away from radiators to avoid the 'weeping'. Over winter it
                                                    ","

"
53,Ficus triangularis variegata,Triangle Fig,"
                                                        One of the easiest indoor Figs. The unusual triangular leaves are quite thick and tough (shows it can take a bit of neglect/underwatering). We have had this species here at the nursery for years and have found it incredibaly unfussy. It will grow keeping its bushy habit up to abo
                                                    ","

"
54,Gloriosa rothschildiana,Flame Lily,"
                                                        Availlable May/June 2018
A truly stunning climber. Ideal for conservatories. It will grow about 2 meteres a year and give a magnificent display of flowers.Support is needed as is grows using tendrills which grow out of the leaf ends.  From Africa this is the national flower of Z
                                                    ","

"
55,Heteropanax chinensis,,"
                                                        If you have the room this is a stunning indoor plant. Quick growing but very easy to cut back if it gets too large.
The leaves of this unusual specimen are wonderful to watch as the unfurl from the top then gracefully arch to the side.
                                                    ","

"
56,Hibiscus rosa-sinensis,Rose of China,"
                                                        An exotic beauty of a flower. From China this lovely plant will flower for 5-6 months of the year if looked after. One of our favourite flowering indoor plants, not sure why it is not grown more in bright locations indoors. 
                                                    ","

"
57,Howea forsteriana,Kentia Palm,"
                                                        Now relatively well known in the UK the Kentia Palm is a wonderful specimen palm, taking low light levels (give more light to larger specimens) and needing little specialist care it will add an air of the exotic into any room.
                                                    ","

"
58,Hoya carnosa tricolour,Wax Flower,"
                                                        Beautiful almond shaped leaves growing in long vines. Dark green with white and pink edges, stems and new leaves are bright pink. Another very very easy plant! The flowers are a lovely shade of pink and have a glorious scent.
                                                    ","

"
59,Maranta kerchoveana,Prayer Plant,"
                                                        This used to be a very common houseplant, adorning dark shelves and bottle gardens all over the UK. For some reason it is now very hard to find but after looking for some time we are now growing this delightful easy to look after plant.
                                                    ","

"
60,Maranta leuconeura erythrophylla,Herringbone Plant,"
                                                        An old favourite Maranta (sometimes called prayer plant and sold as Maranta tricolour) has almost the same popularity as the spider plant. One of the most intricately patterned leaves in nature giving it its place on the nations top ten houseplants.
                                                    ","

"
61,Medinilla magnifica,Medinilla,"
                                                        Possibly the most spectacular flowering houseplant available. The exotic pink flowerhead can reach up to 50cm in length hanging down from the main plant that in addition has large oval dark green leaves with light veining. A truly incredible houseplant. Due to the very very fragi
                                                    ","

"
62,Microsorum diversifolium,Kangaroo Fern,"
                                                        Wonderful hanging fern native to New Zealand and Australia. Interesting rhizomes creep around the outside.
Firm leathery fronds that are oddly shaped and vary in size
If your after a big exotic specimen to hang in a mid light to dark room this is the one!
                                                    ","

"
63,Monstera adansonii,Five Holes Plant,"
                                                        This extraordinary tropical plant is naturally a climber but can also be a hanging plant to create a trailing plant instead. Originally from South America, this plant does amazingly well in a well lit area but isn't so good with direct sunlight. Grown by us in 3 litre biodegrada
                                                    ","

"
64,Monstera deliciosa,Swiss Cheese Plant,"
                                                        Originally from the rain forests of Central and South America, where they climb up trees to reach higher light levels, consequently sturdy support is essential as stems can reach a height of 20' or more. They are easy to grow and with proper care, leaves of up to 45cm (18"") acros
                                                    ","

"
65,Neoregelia 'Fireball',,"
                                                        A very easy to care for plant. It will make a lovely colourful addition to your home. We have been growing this plant for years here at the nursery in all sorts of conditions and it does not seem to mind any spot! The foliage gets brighter the more light it gets.
                                                    ","

"
66,Nephrolepis exaltata bostoniensis,Boston Fern,"
                                                        Discovered a century ago in Boston (the name gave it away!) this graceful variation on the sword fern (N. exaltata) has become a common sight in rooms all over the world. It is one of the easiest ferns to grow inside giving a mass of soft foliage all year round in exchange for a 
                                                    ","

"
67,Opuntia,Prickly pear,"
                                                        A large group (genus) of well known plants that make for a very charechterful housplants that are very very easy to grow in a sunny spot. The main feature are the large paddle like segments (cladodes) and the colurful fruit. Watch out for the spines though, some species have hai
                                                    ","

"
68,Oxalis triangularis purpurea,False Shamrock,"
                                                        An easy to care for compact indoor perennial plant with an attractive display of burgandy-red clover-like foliage from spring to autumn and edible, tubular pink flowers throughout the summer. A rare and sought-after houseplant which has risen in popularity due to recent high exp
                                                    ","

"
69,Pachypodium lamerei,Madagascar Palm,"
                                                        Not really a palm but a tall growing succulent, this wonderful native of Madagascar is a very easy to look after plant that is definitely something out of the ordinary. Needs a bright spot
                                                    ","

"
70,Peperomia 'Piccolo Banda',Radiator Plant,"
                                                        A low maintence, compact houseplant with striking silvery-green veined leaves supported by fleshy red stems. Green spikes of tiny flowers appear in summer. Related to the pepper plant with semi-succulent properties, meaning they are able to store water in their leaves to fall ba
                                                    ","

"
71,Peperomia caperata 'Rosso',Radiator plant,"
                                                        Bright, colourful and like all the pepperomias very very interesting (There are over a 1000 species!). The burgandy red of the leaves of rosso is shown in the light underside and the dark top, otherworldy flower spires top off this lovely slow growing houseplant.
                                                    ","

"
72,Peperomia obtusifolia Golden Gate,Baby Rubber Plant,"
                                                        A compact houseplant with glossy, variegated leaves and a growth habit that is bushy in appearance. Spikes of white flowers on red stems appear during the growing season. Particuarly ideal for offices or shady spots as they grow well in low or fluorescent lighting. 
Native to 
                                                    ","

"
73,Philodendron 'Imperial Green',,"
                                                        BIG glossy green leaves and compact growth make this a top choice for an exotic houseplant. Happy in mid to shady positions this large plant makes a real statement.
                                                    ","

"
74,Philodendron 'Imperial Red',,"
                                                        Deep purples reds and greens make this elegant plant a striking choice for a dark room. Unlike many philodendrons (Tree lovers) Imperial red makes a lovely upright specimen that is tidy in its growth habit.
                                                    ","

"
75,Philodendron 'Xanadu',,"
                                                        An exotic houseplant with deeply dissected dark green leaves. Unlike many Philodendrons this is not a climber but will grow into a medium sized shrub. Fantastic in a large room, hallway or bathroom it will add a piece of jungle to any home.
                                                    ","

"
76,Philodendron pedatum,Oak Leaf Philodendron,"
                                                        Like big leaved climbers? This is a stunning alternative to the better known Cheese plant. Just as easy and in out opinion a bit more special. The leaves can in the right conditions grow to over a foot long! the leaf petioles (The stem before the green bit) are a wonderful deep p
                                                    ","

"
77,Philodendron scandens,Sweetheart Plant,"
                                                        Simple elegant heart shaped leaves adorn this easy to care for climbing interior plant. Will tolerate some cold and draughts so a great plant for that dark cold north facing room.
                                                    ","

"
78,Pilea peperomiodes,Chinese Money Plant,"
                                                        This is an amazingly interesting plant as it has such unique circular, shiny, dark green leaves. One of the few houseplants made popular by people sharing the young offsetts rather than comercial horticulture. Also called the UFO plant!
Grown by us in a biodegradable pot! 2 litre
                                                    ","

"
79,Platycerium bifurcatum,Staghorn fern,"
                                                        Stunningly wierd this is one of the most spectacular indoor plants. Growing in the wild on the branches and trunks of trees staghorn and elkhorn ferns can be suspended on wires and hung from a wall to display at eye level a truly spectacular fern. Its best to 'dunk' the plant in 
                                                    ","

"
80,Rhipsalis,Mistletoe cacti,"
                                                        Rhipsalis is an epiphytic (grows on other plants) cacti found in tropical rainforests. Very interesting foliage and flowers to boot!. Very 'In' at the moment due to its wonderful shape and interesting colour. Easy to look after, best in a bright spot out of bright direct sunlight
                                                    ","

"
81,Sansevieria cylindrico,Snake Plant,"
                                                        If you are looking for a plant with a contemporary edge then the very unusual sansevieria cylindrico is hard to beat. Each leaf is pefectly round in cross section and the whole plant grows into a fantastic fan shaped specimen. Hard to find but very easy to grow.
                                                    ","

"
82,Sansevieria fernwood mikado,,"
                                                        This is a beautifully shaped plant with long dark green leaves growing up to give it a fountain like look. 
                                                    ","

"
83,Sansevieria Jiboia,,"
                                                        A rare, air-purifying houseplant with grey/green, variegated sword-like leaves. Originating from West Africa, its air purifying qualities increase the oxygen content in your home and improve the air humidity. 
 
 
                                                    ","

"
84,Sansevieria kirkii,Star Sansevieria,"
                                                        A newcomer to the UK indoor plant market. Tough and architectural, Sansevieria is the perfect plant for the modern interior. An easy plant to look after, as with all Sansevierias, but with a more contemporary edge than the better known 'mother in law's tongue' Long sword like lea
                                                    ","

"
85,Sansevieria metallica,,"
                                                        Very very rare Sansieveria. Very interesting marbled silver variegation adorn the long swordlike leaves. Top plant for a Cubico container.
                                                    ","

"
86,Sansevieria trifasciata Black Coral,Snake plant,"
                                                        Wonderous bold markings adorn this easy care Sansevieria. Very very dark bandings contrast with the light. Like the mother in law's tongue it thrives with neglect and hates too much water. Repot it when pot bound and it will continue throwing up taller and taller leaves. Great fo
                                                    ","

"
87,Sansevieria trifasciata laurentii,Mother-in-laws Tongue,"
                                                        Tough and architectural, Sansevieria is the perfect plant for the modern interior. Long sword like leaves with gold trim can reach a metre in height, providing a sculptural specimen either planted on its own or in a group
                                                    ","

"
88,Sansevieria volkensii,Sansevieria volkensii,"
                                                        Stunning tall Sansevieria with long thin arching leaves from East Africa. Very modern in its look would look great as a stand alone specimen or mixed with complementary plants.
                                                    ","

"
89,Sansevieria zeylanica,Mother-in-laws Tongue,"
                                                        Less well known than the regular mother in laws tounge, S. zeylanica is just as tough. Set to become a favorite with interior designers due to its grey green/silver foliage and striking shape.
                                                    ","

"
90,Schefflera arboricola,Umbrella plant,"
                                                        A well-known houseplant popular for generations the umbrella plant is an easy plant for a brightish spot. The leaflets are arranged in a whorl around the leaf stem giving the plant its common name, the number of leaflets increases as the plant ages. S. arboricola 'Gold Cappella h
                                                    ","

"
91,Scindapsus pictus,Satin Pothos,"
                                                        A large leaved climber with heart shaped leaves similar to Philodendron but with a yellow marbled variegation. Out of the stem grow aerial roots which are best given a moss pole to cling to, misting the pole occasionally will give you a much healthier plant. 
                                                    ","

"
92,Senecio herreianus,String of Beads,"
                                                        A spreading and cascading houseplant threaded with succulent fleshy leaves which look like a string of beads. The leaves are up to 1 cm long and green with vertical, translucent lines. Flowers appear at various times of the year on tall stems as small, white and fuzzy daisies.
Fa
                                                    ","

"
93,Spathiphyllum wallisii,Peace Lily,"
                                                        If there was to be a top ten most loved houseplants then we would bet on the Peace Lily being if not top very close. Large dark green leaves and its simple white spathe flower give it a look all to itself. We have afew varieties here the video below runs through some of them.
                                                    ","

"
94,Strelitzia nicolai,Giant white Bird of Paradise,"
                                                        Big banana like leaves. This Bird of paradise plant is a great plant for a very sunny spot. Growth can be very quick with the leaves arching architecturally creating a fan. If you have the space it can flower but only after it gets to 2.5m+
                                                    ","

"
95,Strelitzia reginae,Bird of Paradise,"
                                                        A truly wonderful plant from South Africa. The flower is well known accross the world for its striking colours and shape. Indoors in a bright spot it will flower for months providing a hard to beat exotic centrepiece! These are BIG very hard to find specimens with at least 15 flo
                                                    ","

"
96,Stromanthe Triostar,Calathea Triostar,"
                                                        Very closely related to the Calatheas this is one of the brightest bold houseplants availlable today. Each leaf is slightly different with the cream, green purple and pink variegation working wonderfully with the bright purple/pink underside. Will tolerate more neglect than a lot
                                                    ","

"
97,Tradescantia zebrina,Wandering jew,"
                                                        This really is a colourful specimen, striking leaves of purple, shades of green and silver. The trailing habit of this plant gives a cascade of colour to any environment, maximizing on limited avaible space.
                                                    ","

"
98,Vriesea fosteriana 'Red Chestnut',,"
                                                        A beautiful cultivar. Bold markings and stunning colouration adorn the rrosette of leaves. This is an epephytic (Grows on other plants without harming them) bromeliad from Brazil. We find them incrediablay easy to look after 
                                                    ","

"
99,Vriesia gigantia 'Nova',Giant Vriesea,"
                                                        This amazing bromeliad from Brazil can reach widths of a metre! Wonderful unusual foliage with speckled geometric variegation. Easy to look after as well! The flower is massive! a
                                                    ","

"
100,Yucca elephantipes,Spineless Yucca,"
                                                        Yuccas are pretty well known easy house plants, tolerating full sun and thriving on a minimal amount of care. Large and or branched specimens are hard to get hold of but make a fantastic specimen plant for a well lit room or conservatory.
                                                    ","

"
101,Zamioculcas zamifolia,ZZ Plant,"
                                                        Only recently has this plant been seen in the UK (Its name is heard even less!). Zamioculcas is beginning to find itself brought into offices by interior landscapers, probably due to its affinity with modern design. Each of the branches coming from the compost is actually a leaf 
                                                    ","

"
102,Zamioculcas zamiifolia 'Raven',,"
                                                        Black is not found hardly at all in nature and the breeding of black plants is considered the holy grail of growers all over the world. This ZZ plant is very very close to a true black when the leaves mature. Stunning and very very unusual. Easy to look after but be careful not t
                                                    ","

"
