,Latin Name,Common Name,Description,Plant Image,Light
0,Ficus Cyathistipula,African Fig Tree,"
                                                        An unusual indoor plant, this fig originates from central Africa and has long rounded dark green leaves. Quite quick growing in the right spot in your house and will tolerate lower light levels. Great if you want to grow an indoor tree! Undemanding, provided it is not over-watered.
                                                    ",https://www.houseofplants.co.uk/Resources/400temp/Ficus_-cyathistipula_detail.jpg,High
1,Aloe Vera,Aloe Vera,"
                                                        Noted for its healing properties the Aloe vera plant is very popular in everything from cosmetics to medicinal uses. Apart from this it is also a great houseplant, easy to look after, oxygenates the air and looks great. An easy way to grow fresh air and plasters at the same time!
                                                    ",https://www.houseofplants.co.uk/Resources/400temp/Aloe_Vera_detail.jpg,High
2,Chrysalidocarpus Lutescens,Areca Palm,"
                                                        Areca palm. A great value bushy palm for a bright spot. Looking like a large bushy parlour palm the it is a great choice if you need a dense tall specimen. Needing a little more care than the parlour or kentia palm but the result is a magnificent plant.",https://www.houseofplants.co.uk/Resources/400temp/Areca_palm_detail.jpg,Medium
3,Peperomia Obtusifolia Golden Gate,Baby Rubber Plant,"A compact houseplant with glossy, variegated leaves and a growth habit that is bushy in appearance. Spikes of white flowers on red stems appear during the growing season. Particularly ideal for offices or shady spots as they grow well in low or fluorescent lighting. ",https://www.houseofplants.co.uk/Resources/400temp/peperomia-obtusifolia-golden-gate-detail.jpg,Medium
4,Chamaedorea Seifrizii,Bamboo Palm,"
                                                        As the name suggests this lovely palm has arching cane like stems that resemble bamboo. Very easy to look after and will cope with a wide range of positions.
                                                    ",https://www.houseofplants.co.uk/Resources/400temp/Chamaedorea_Seifrizii_110cm.jpg,Medium
5,Ficus Benghalensis,Bengal Fig,"
                                                        Not a very well known type of fig, large leaves a little like rubber plant have wonderfully elegant pale green veins that show up beautifully against the dark green of the leaf.                                                    ",https://www.houseofplants.co.uk/Resources/400temp/Ficus_benghalensis_detail.jpg,High
6,Strelitzia Reginae,Bird of Paradise,A truly wonderful plant from South Africa. The flower is well known accross the world for its striking colours and shape. Indoors in a bright spot it will flower for months providing a hard to beat exotic centerpiece!,https://secure.img1-fg.wfcdn.com/im/01632478/compr-r85/7454/74547322/bird-of-paradise-with-blooms-flowering-plant-in-pot.jpg,High
7,Asplenium 'Leslie',Bird's Nest Fern,"
                                                        A lush, leathery-leaved unusual fern with lance-shaped fronds, each with a slightly wavy edge. Native to eastern Asia, it commonly grows on tree trunks, cliffs and forests. Although endangered in the wild, it is a popular ornamental houseplant throughout Europe and the United States.                                                ",https://www.houseofplants.co.uk/Resources/400temp/Asplenium_leslie_40cm_detail.jpg,Low
8,Zamioculcas Zamiifolia 'Raven',Black ZZ Plant,"
                                                        Black is not found hardly at all in nature and the breeding of black plants is considered the holy grail of growers all over the world. This ZZ plant is very very close to a true black when the leaves mature. Stunning and very very unusual.",https://www.houseofplants.co.uk/Resources/400temp/Zamioculcas_raven.jpg,Medium
9,Aechmea 'Blue Rain',Blue Rain Bromeliad,"
                                                        A Truly stunning plant, and very very easy to look after. A very long lasting Blue and red flower spike with deep green glossy leaves. A real statement plant.
                                                    ",https://www.houseofplants.co.uk/Resources/800temp/Achmeabluerainflower.jpg,"

Medium"
10,Nephrolepis Exaltata Bostoniensis,Boston Fern,"
                                                        Discovered a century ago in Boston (the name gave it away!) this graceful variation on the sword fern (N. exaltata) has become a common sight in rooms all over the world. It is one of the easiest ferns to grow inside giving a mass of soft foliage all year round.                                                    ",https://www.houseofplants.co.uk/Resources/400temp/BostonFernP17.jpg,Medium
11,Stromanthe Triostar,Calathea Triostar,"
                                                        Very closely related to the Calatheas this is one of the brightest bold houseplants availlable today. Each leaf is slightly different with the cream, green purple and pink variegation working wonderfully with the bright purple/pink underside.                                                   ",https://www.houseofplants.co.uk/Resources/400temp/Stromanthe-sanguinea-Triostar.jpg,Low
12,Aspidistra Elatior,Cast Iron Plant,"
                                                        Aspidistra is a Victorian favorite related to the Dracaena and Beaucarnea now making a comeback because, as its common name suggests, it is almost impossible to kill. In the United States of America it's has been known as the Barroom Plant.                                                    ",https://www.houseofplants.co.uk/Resources/400temp/Aspidistra_elatior_65cm_detail.jpg,High
13,Ficus Microcarpa,Chinese Banyan,"
                                                        Bizarre bonsai like fig from tropical and sub tropical areas. Succulent like leaves and contorted trunk create a fascinating plant Treat like most indoor figs water when dry over the summer and don't move it from place to place.
                                                    ",https://www.houseofplants.co.uk/Resources/400temp/Ficus_microcarpa_detail.jpg,High
14,Aglaonema Christine,Chinese Evergreen ‘Christine’,"
                                                        Aglaonemas are ideally suited where an attractive foliage display is needed for those shady corners. Large spear shaped leaves are usually decoratively variegated with greys, greens and yellows.
                                                    ",https://www.houseofplants.co.uk/Resources/400temp/Aglaonemea_SilverQueenclose.jpg,Low
15,Aglaonema Cutlass,Chinese Evergreen ‘Cutlass’,"
                                                        Another tough Chinese evergreen. Bold markings on the large thin leaves. Good for low light as well as those of us who are a little erratic with watering!
                                                    ",https://www.houseofplants.co.uk/Resources/400temp/Aglaonema_cutlass_detail.jpg,Low
16,Pilea Peperomiodes,Chinese Money Plant,"This is an amazingly interesting plant as it has such unique circular, shiny, dark green leaves. One of the few houseplants made popular by people sharing the young offsetts rather than comercial horticulture. Also called the UFO plant!
Grown by us in a biodegradable pot! 2 litre",https://www.houseofplants.co.uk/Resources/400temp/Pilea-peperomioides-close.jpg,Medium
17,Dracaena Compacta,Compact Dragon Tree,"
                                                        Super stylish this dracaena is right up to date with modern decor. As the name suggests the dark green leaves are small and grow in tidy, compact profusion around the slow growing branches. A must for the modern room.
                                                    ",https://www.houseofplants.co.uk/Resources/400temp/Dracaena_compacta_detail.jpg,Medium
18,Codiaeum 'Iceton',Croton Iceton,"
                                                        Looking for a colorful yet stylish plant? This is it, Reds, pinks, yellows and greens adorn this lovely plant. Another plant that really lends itself to tall containers.
                                                    ",https://www.houseofplants.co.uk/Resources/400temp/CrotonIcetonLeaf.jpg,"

High"
19,Codiaeum Variegatum 'Petra',Croton Petra,"
                                                        A well known plant grown in gardens in tropical areas all over the world. A kaleidoscope of colors which change with the age of the leaf adorn this lovely tree. Super choice for bright rooms.
                                                    ",https://www.houseofplants.co.uk/Resources/400temp/Codiaeum_petra_detail.jpg,High
20,Epipremnum Aureum (Scindapsus Aureus),Devils Ivy,"
                                                        A large leaved climber with heart shaped leaves similar to Philodendron but with a yellow marbled variegation. Out of the stem grow aerial roots which are best given a moss pole to cling to, misting the pole occasionally will give you a much healthier plant.",https://www.houseofplants.co.uk/Resources/400temp/Epipremnum_aureum_detail.jpg,Medium
21,Dracaena Deremensis 'Janet Craig',Dragon Tree 'Janet Craig',Bold and simple wide dark green leaves form the large crown of this choice Dracaena. A wonderful choice for a room or office with contemporary design. Although slower growing than dracaena marginata it will still reach a height of 6-7 feet. One of our most popular plants.,https://www.houseofplants.co.uk/Resources/400temp/Dracaena_deremensis_janet_craig_detail.jpg,Medium
22,Dracaena 'Lemon and Lime',Dragon Tree 'Lemon and Lime',"
                                                        The name gives it away really! Broad leaves with bright green edges and a dark green mid band give this lovely plant a vibrant colourful look. As a bonus the canes are marbled with green and white.
                                                    ",https://www.houseofplants.co.uk/Resources/400temp/DracaenaLemonandlimeLeaf.jpg,Medium
23,Dracaena Deremensis Warneckii,Dragon Tree ‘Warneckii’,"
                                                        A striking foliage plant. White bands of varying width run along each leaf blade creating a dazzling effect. A great choice if you are looking for a smaller specimen plant that is slow growing.
                                                    ",https://www.houseofplants.co.uk/Resources/400temp/Dracaena_deremensis_detail.jpg,Medium
24,Dieffenbachia,Dumb Cane,"Lovely foliage plants with large, usually variegated leaves. They will grow large, up to 2 metres tall, given the right conditions and care.
CAUTION - the sap is poisonous and great care must be taken not to get sap on hands and to keep the plant away from children.",https://www.houseofplants.co.uk/Resources/400temp/Dieffenbachia_detail.jpg,Medium
25,Oxalis Triangularis Purpurea,False Shamrock,"
                                                        An easy to care for compact indoor perennial plant with an attractive display of burgundy-red clover-like foliage from spring to autumn and edible, tubular pink flowers throughout the summer. A rare and sought-after houseplant which has risen in popularity recently.                                                   ",https://www.houseofplants.co.uk/Resources/400temp/Oxalis_triangularis_purpurea.jpg,Medium
26,Ficus Lyrata,Fiddle Leaf Fig,"
                                                         The Fiddle leaf fig, glorious and exotic indoor tree. Branches will grow from the leaf bases in time creating a wonderfully tropical specimen. Unbelievably fashionable its 'the' plant of the decade, so far! It is not hard but prefers a bright spot, near a window.
                                                    ",https://www.houseofplants.co.uk/Resources/400temp/Ficus_lyrata_detail.jpg,High
27,Ficus Binnendijkii 'Amstel King',Fig Tree,"
                                                        A choice fig for a bright position. Large leaves with a red tint on the new growth adorne this lush robust specimen. A great alternative to the more common weeping fig.
                                                    ",https://www.houseofplants.co.uk/Resources/400temp/Ficus-amstel-king-new-leaf.jpg,Medium
28,Epiphyllum Anguliger,Fishbone Cactus,"
                                                        A very very unusual epiphytic (Grows on other plants) cactus. Amazing long wavey leaves and a stunning flower.
Needs to be hung somewhere to get the best view. They seem easy to grow we have been trialing them for a year now and no problems!
                                                    ",https://www.houseofplants.co.uk/Resources/400temp/epiphyllum-anguliger-detail.jpg,High
29,Monstera Adansonii,Five Holes Plant,"This extraordinary tropical plant is naturally a climber but can also be a hanging plant to create a trailing plant instead. Originally from South America, this plant does amazingly well in a well lit area but isn't so good with direct sunlight.",https://www.houseofplants.co.uk/Resources/400temp/Monstera_adansonii_detail.jpg,High
30,Gloriosa Rothschildiana,Flame Lily,A truly stunning climber. Ideal for conservatories. It will grow about 2 meters a year and give a magnificent display of flowers.Support is needed as is grows using tendrils which grow out of the leaf ends.,https://www.houseofplants.co.uk/Resources/400temp/gloriosa_rothscildianna.jpg,High
31,Vriesia Gigantia 'Nova',Giant Vriesea,"
                                                        This amazing bromeliad from Brazil can reach widths of a metre! Wonderful unusual foliage with speckled geometric variegation. Easy to look after as well! The flower is massive!
                                                    ",https://www.monaconatureencyclopedia.com/wp-content/uploads/2019/03/1-Alcantarea-imperialis.jpg,"High

"
32,Strelitzia Nicolai,Giant White Bird of Paradise,Big banana like leaves. This Bird of paradise plant is a great plant for a very sunny spot. Growth can be very quick with the leaves arching architecturally creating a fan. If you have the space it can flower but only after it gets to 2.5m+,https://cdn.shopify.com/s/files/1/0013/3529/6118/products/Modernica-Case-Study-Cylinder-with-Stand-XL-White_Bird-of-Paradise-14.jpg?v=1564413302,High
33,Crassula 'Hummel's Sunset',Golden Jade Tree,"
                                                        With a bright splash of colour this is a hard to find variety of money tree. The leaves have yellow and red margins that become even more distinct over the winter months. Bright light is best but constant direct sunlight will dull the colors as will not enough light.",https://www.houseofplants.co.uk/Resources/400temp/Crassula_hummels_sunset_detail.jpg,High
34,Cissus Rhombifolia,Grape Ivy,A common plant in the 70s and 80s now a real rarity. Brilliant if you are after an easy trailing plant to drape over or climb. Will tolerate a range of light conditions and will grow quickly if looked after.,https://www.houseofplants.co.uk/Resources/400temp/Cissus_rhombifolia50cm-hanging.jpg,Medium
35,Davallia Canariensis,Hare's Foot Fern,"
                                                        What a scary plant! Davallia is like a cross between an asparagus and a tarantula. Little known and hard to forget Davallia is great for a bathroom but don't flush it down the plughole!
                                                    ",https://www.houseofplants.co.uk/Resources/400temp/Davallia_canariensis_detail.jpg,"
Medium
"
36,Maranta Leuconeura Erythrophylla,Herringbone Plant,"
                                                        An old favourite Maranta (sometimes called prayer plant and sold as Maranta tricolour) has almost the same popularity as the spider plant. One of the most intricately patterned leaves in nature giving it its place on the nations top ten houseplants.
                                                    ",https://i.pinimg.com/originals/46/34/e2/4634e27cacfbd4b007ac5cd0ff3d0079.jpg,Low
37,Crassula 'Horntree',Hobbit Jade,"
                                                        An interesting cultivar of Crassula with tube like leaves resembling little hunting horns. The overall effect is almost coral like. Its just as easy as the more common Jade plant.  Use a well drained compost and do not overwater especially over winter.
                                                    ",https://www.houseofplants.co.uk/Resources/400temp/CrassulaHobbitClose.jpg,High
38,Araucaria Cunninghamii 'Bonsai',Hoop Pine,"
                                                        One of the best houseplants and also one of the least known about. A cousin of the equally interesting monkey puzzle the Hoop Pine is a great indoor conifer. The needles (can be a little sharp when older) are a wonderful green/blue color.
                                                    ",https://www.houseofplants.co.uk/Resources/400temp/Araucaria_cunninghamii_bonsai_detail.jpg,High
39,Ficus Nitida,Indian Laurel,"
                                                        Ficus nitida aslo known as Indian laurel. It has a lovely silvery bark with larger leaves than the well known Ficus benjamina. The glossy leaves grow in profusion creating the classic indoor tree. Keep out of droughts and away from radiators to avoid the 'weeping'.",https://www.houseofplants.co.uk/Resources/400temp/Ficus_nitida_160cm_detail.jpg,High
40,Microsorum Diversifolium,Kangaroo Fern,"
                                                        Wonderful hanging fern native to New Zealand and Australia. Interesting rhizomes creep around the outside.
Firm leathery fronds that are oddly shaped and vary in size
If your after a big exotic specimen to hang in a mid light to dark room this is the one!
                                                    ",https://images-na.ssl-images-amazon.com/images/I/81KMzgzUqkL._AC_SL1500_.jpg,Medium
41,Howea Forsteriana,Kentia Palm,"
                                                        Now relatively well known in the UK the Kentia Palm is a wonderful specimen palm, taking low light levels (give more light to larger specimens) and needing little specialist care it will add an air of the exotic into any room.
                                                    ",https://www.houseofplants.co.uk/Resources/400temp/Howea_forsteriana_detail.jpg,Low
42,Aeschynanthus Japhrolepis,Lipstick Plant,"An easy to look after flowering indoor trailer. Deep red flowers form mid to late summer, prolific flowering if the conditions are right. This great climber from Indonesia can trail up to 1.5 meters!",https://www.houseofplants.co.uk/Resources/400temp/Aeschynanthus-japhrolepsis_Lipstick-Plant-P15.jpg,High
43,Aeschynanthus Pulcher 'Mona Lisa',Lipstick Plant ‘Mona Lisa’,"
                                                        A very easy to look after flowering trailer. Dark green glossy leaves and a stunning bight red flower. Needs good light to get the best flowering. 
                                                    ",https://www.houseofplants.co.uk/Resources/400temp/Aeschynanthus-pulcher-Mona-Lisa_detail.jpg,High
44,Ficus Binnendijkii 'Alii',Long Leaved Fig,"
                                                        A lovely variety of fig with long graceful leaves. A good choice of specimen for an elegant bright room. The new leaves can be a peach colour with reddish stems giving more interest to this lovely plant.
                                                    ",https://www.houseofplants.co.uk/Resources/400temp/Ficus_binnendijkii_alii_detail.jpg,High
45,Dracaena Marginata,Madagascar Dragon Tree,"
                                                        Easy foliage houseplant with thin variegated leaves. Keep the humidity up to stop leaf drop. A great plant for kitchens. The branched specimens (as photo on left) really are beautiful with aged trunk and very bushy crowns.
                                                    ",https://www.houseofplants.co.uk/Resources/400temp/Dracaena_marginata_180cm_detail.jpg,High
