,Latin Name,Common Name,Description,Plant Image,Light
46,Pachypodium Lamerei,Madagascar Palm,"
                                                        Not really a palm but a tall growing succulent, this wonderful native of Madagascar is a very easy to look after plant that is definitely something out of the ordinary. Needs a bright spot!
                                                    ",https://encrypted-tbn0.gstatic.com/images?q=tbn%3AANd9GcQnJ2_tQdKxMtfQy1QU9GKHwovi_JIveABn3QxMVm-UGY0R1DFQ,High
47,Adiantum Fragrans,Maidenhair Fern,"An elegant houseplant with black stalks and yellowy green, triangular fronds which appear soft and lacey due to lobed segments in the foliage. Often grown in terrariums as they love humidity and are known to flourish in a steamy bathroom or kitchen.",https://www.houseofplants.co.uk/Resources/800temp/Adiantum_Fragrans_-Maidenhair_-Fern_detail.jpg,High
48,Medinilla Magnifica,Medinilla,Possibly the most spectacular flowering houseplant available. The exotic pink flowerhead can reach up to 50cm in length hanging down from the main plant that in addition has large oval dark green leaves with light veining. A truly incredible houseplant.,https://img.crocdn.co.uk/images/products2/pl/20/00/03/44/pl2000034429.jpg?width=940&height=940,High
49,Chamaedorea Metallica,Metallic Palm,"
                                                        A lesser known relative of the parlour palm, but just as easy. the wide fishtail like leaves have an almost metallic sheen, hence the name. Very slow growing but worth the wait! Great in almost any room of the house.
                                                    ",https://www.houseofplants.co.uk/Resources/800temp/Chamaedorea_metallica_detail.jpg,Medium
50,Crassula Minor,Mini Jade Plant,"
                                                        A lesser known Money tree with small compact leaves. The tidy growth habit gives it a look of a bonsai, very interesting and an easy plant for any bright location.",https://www.houseofplants.co.uk/Resources/400temp/Crassula_minor_detail.jpg,High
51,Rhipsalis,Mistletoe Cacti,"
                                                        Rhipsalis is an epiphytic (grows on other plants) cacti found in tropical rainforests. Very interesting foliage and flowers to boot!. Very 'In' at the moment due to its wonderful shape and interesting colour. Easy to look after, best in a bright spot out of bright direct sunlight.",https://www.houseofplants.co.uk/Resources/400temp/Rhipsalis_detail.jpg,"High

"
52,Crassula Ovata,Money Tree,"
                                                        A well known and loved succulent. Easy to look after and will in a few years become a magnificent specimen.  Use a well drained compost and do not overwater especially over winter.
                                                    ",https://www.houseofplants.co.uk/Resources/400temp/Crassula_ovata_detail.jpg,High
53,Sansevieria Trifasciata Laurentii,Mother-in-Laws Tongue,"
                                                        Tough and architectural, Sansevieria is the perfect plant for the modern interior. Long sword like leaves with gold trim can reach a meter in height, providing a sculptural specimen either planted on its own or in a group.
                                                    ",https://www.houseofplants.co.uk/Resources/400temp/Sans_laurentii_115cm.jpg,High
54,Sansevieria Zeylanica,Mother-in-Laws Tongue ‘Zeylanica’,"
                                                        Less well known than the regular mother in laws tounge, S. zeylanica is just as tough. Set to become a favorite with interior designers due to its grey green/silver foliage and striking shape.
                                                    ",https://images-na.ssl-images-amazon.com/images/I/41vajqWp8rL.jpg,Medium
55,Araucaria Heterophylla,Norfolk Island Pine,"
                                                        This houseplant is cousin of the equally interesting monkey puzzle the Norfolk Island Pine is a great indoor conifer. Soft needles cover the tiered branches and stem giving the plant the appearance of an exotic Christmas tree.                                                   ",https://www.houseofplants.co.uk/Resources/800temp/Araucaria-heterophylla-Norfolk-Island-Pine-70cm.jpg,High
56,Philodendron Pedatum,Oak Leaf Philodendron,"
                                                        Like big leaved climbers? This is a stunning alternative to the better known Cheese plant. Just as easy and in out opinion a bit more special. The leaves can in the right conditions grow to over a foot long!",https://www.houseofplants.co.uk/Resources/400temp/Philo-pedatum-Close1.jpg,Medium
57,Chamaedorea Elegans,Parlour Palm,For over a century Parlour palms have enjoyed a place in the British home. A low growing palm (up to 3 feet high) that is very tough it will tolerate a lot of abuse but with a small amount of care will thrive. Great in almost any room of the house!,https://www.houseofplants.co.uk/Resources/400temp/Chamaedorea_elegans_detail.jpg,High
58,Spathiphyllum Wallisii,Peace Lily,"
                                                        If there was to be a top ten most loved houseplants then we would bet on the Peace Lily being if not top very close. Large dark green leaves and its simple white spathe flower give it a look all to itself. We have afew varieties here the video below runs through some of them.
                                                    ",https://www.houseofplants.co.uk/Resources/400temp/Peace_lily_detail.jpg,Low
59,Calathea Orbifolia,Peacock Plant,"
                                                        In vogue at the moment this luxurious Calathea is a true stunner! Very very large leaves with subtle colouration adorne this shade loving specimen.
                                                    ",https://www.houseofplants.co.uk/Resources/400temp/Calathea_orbifolia_detail.jpg,Medium
60,Calathea Sanderiana,Pin Stripe Calathea,"
                                                        One of the larger Calathea varieties. A glossy indoor plant with distrinctive dark green leaves with fishbone-like stripes. The stripes have pink overtones and will turn white when the plant ages. The underside of the leaf are a beautiful purple color.",https://www.houseofplants.co.uk/Resources/400temp/Calathea_sanderiana_detail.jpg,Low
61,Dracaena Reflexa 'Anita',Pleomele Anita,"
                                                        These beautiful branched specimens are perfect if you are after something different and stylish. Consider using Cubico containers to give it even more Height to create a stunning specimen planting.We do have larger plants here at the nursery please phone for details.
                                                    ",https://mandarin-shop.ru/images/cms/data/draceni/anita/dracaena-reflexa-anita-d35cm-h150cm-preview1.jpg,Medium
62,Beaucarnea Recurvata,Pony Tail Palm,Beaucarneas are curious plants with a heavily swollen base and grass like foliage giving it a unique appearance. The stem is used to store water which is a great help to those of us that forget the odd watering or are absent for a week or so.,https://www.houseofplants.co.uk/Resources/400temp/Beaucarnea_recurvata_detail.jpg,Medium
63,Maranta Kerchoveana,Prayer Plant,"
                                                        This used to be a very common houseplant, adorning dark shelves and bottle gardens all over the UK. For some reason it is now very hard to find but after looking for some time we are now growing this delightful easy to look after plant.
                                                    ",https://www.houseofplants.co.uk/Resources/400temp/Maranta_kerchoveana_detail.jpg,Low
64,Opuntia,Prickly Pear,"
                                                        A large group (genus) of well known plants that make for a very charechterful housplants that are very very easy to grow in a sunny spot. The main feature are the large paddle like segments (cladodes) and the colurful fruit. Watch out for the spines though!                                                    ",https://www.houseofplants.co.uk/Resources/400temp/Optuntia_detail.jpg,"
High
"
65,Peperomia 'Piccolo Banda',Radiator Plant ‘Piccolo Banda’,"
                                                        A low maintence, compact houseplant with striking silvery-green veined leaves supported by fleshy red stems. Green spikes of tiny flowers appear in summer. Related to the pepper plant with semi-succulent properties, meaning they are able to store water in their leaves.                                                    ",https://www.houseofplants.co.uk/Resources/400temp/Peperomia_piccolo_banda-detail.jpg,Medium
66,Peperomia Caperata 'Rosso',Radiator Plant ‘Rosso’,"Bright, colourful and like all the pepperomias very very interesting (There are over a 1000 species!). The burgandy red of the leaves of rosso is shown in the light underside and the dark top, otherworldy flower spires top off this lovely slow growing houseplant.",https://www.houseofplants.co.uk/Resources/400temp/Pepperomia-rosso-close.jpg,Medium
67,Calathea Lancifolia,Rattlesnake Plant,"
                                                        Another beautiful Calathea from Brazil. Very bold markings on long elegant leaves. Great as a stand alone plant or as part of a tropical display.
                                                    ",https://www.houseofplants.co.uk/Resources/400temp/Calathea_lancifolia_detail.jpg,Medium
68,Hibiscus Rosa-Sinensis,Rose of China,"An exotic beauty of a flower. From China this lovely plant will flower for 5-6 months of the year if looked after. One of our favorite flowering indoor plants, not sure why it is not grown more in bright locations indoors.",https://www.houseofplants.co.uk/Resources/400temp/Hibiscus_rosa-sin_seppe_Close.jpg,High
69,Calathea Roseopicta,Rose Painted Calathea,"
                                                        Large round leaves with a colorful almost stained glass quality to the top with intricate and bold symmetrical designs. The underneath of the leaves are a lovely rich purple. Great for darker warm rooms and offices.
                                                    ",https://www.houseofplants.co.uk/Resources/400temp/Calathea_rosepicta_detail.jpg,Low
70,Ficus Elastica 'Bali',Rubber Plant,"
                                                        Very well known species of fig. The rubber plant is a very easy plant to look after. It can grow large and loose leaves at the base of the plant, but can be cut back over the winter when the rubber sap will not fill up the pot!",https://www.houseofplants.co.uk/Resources/400temp/Ficus_elastica_bali_detail.jpg,High
71,Sansevieria volkensii,Sansevieria Volkensii,"
                                                        Stunning tall Sansevieria with long thin arching leaves from East Africa. Very modern in its look would look great as a stand alone specimen or mixed with complementary plants.
                                                    ",https://i.pinimg.com/originals/3b/74/61/3b74617b0050222ea7d760a8127ef9f4.jpg,High
72,Scindapsus Pictus,Satin Pothos,"
                                                        A large leaved climber with heart shaped leaves similar to Philodendron but with a yellow marbled variegation. Out of the stem grow aerial roots which are best given a moss pole to cling to, misting the pole occasionally will give you a much healthier plant. 
                                                    ",https://www.houseofplants.co.uk/Resources/400temp/ScindapsusPictusTrebiedetail.jpg,Medium
73,Sansevieria Cylindrico,Snake Plant ‘Cylindrico’,"
                                                        If you are looking for a plant with a contemporary edge then the very unusual sansevieria cylindrico is hard to beat. Each leaf is pefectly round in cross section and the whole plant grows into a fantastic fan shaped specimen. Hard to find but very easy to grow.
                                                    ",https://cdn.shopify.com/s/files/1/1706/1307/products/Sansevieria-cylindrica-Straight-Cylindrical-Snake-Plant-45cm.jpg?v=1524073513,High
74,Sansevieria Trifasciata Black Coral,Snake Plant ‘Black Coral’,"
                                                        Wonderous bold markings adorn this easy care Sansevieria. Very very dark bandings contrast with the light. Like the mother in law's tongue it thrives with neglect and hates too much water. Repot it when pot bound and it will continue throwing up taller and taller leaves.",https://images-na.ssl-images-amazon.com/images/I/41BBnWrBd2L._SY445_.jpg,High
75,Chlorophytum Comosum Variegata,Spider Plant,"
                                                        Very common in homes but very very hard to buy. Incredibly easy. Grows almost anywhere in the house apart from under the stairs! Becoming increasingly popular.
                                                    ",https://www.houseofplants.co.uk/Resources/400temp/ChlorophytumFlower.jpg,Medium
76,Yucca Elephantipes,Spineless Yucca,"
                                                        Yuccas are pretty well known easy house plants, tolerating full sun and thriving on a minimal amount of care. Large and or branched specimens are hard to get hold of but make a fantastic specimen plant for a well lit room or conservatory.
                                                    ",https://i5.walmartimages.com/asr/2fbe2012-e8a6-4445-bf7b-b40debf668aa_1.b1a58c49899d7aacf5016f13259eddb4.jpeg,High
77,Begonia Maculata 'Wightii',Spotted Begonia,"
                                                        This is not your average hanging basket begonia but a tropical talking point! The long leaves have a lovely red backing as well as the striking symetrical patterning on the front. Warmth is the key with these plants this along with good light they will thrive.

                                                    ",https://www.houseofplants.co.uk/Resources/400temp/Begonia_maculata_wightii_detail.jpg,High
78,Platycerium Bifurcatum,Staghorn Fern,"
                                                        Stunningly weird, this is one of the most spectacular indoor plants! Growing in the wild on the branches and trunks of trees, stag horn and elk horn ferns can be suspended on wires and hung from a wall to display at eye level - a truly spectacular fern!                                                    ",https://www.houseofplants.co.uk/Resources/400temp/Platycerium_bifurcatum_detail.jpg,High
79,Sansevieria Kirkii,Star Sansevieria,"
                                                        A newcomer to the UK indoor plant market. Tough and architectural, Sansevieria is the perfect plant for the modern interior. An easy plant to look after, as with all Sansevierias, but with a more contemporary edge than the better known 'mother in law's tongue’.                                                    ",https://www.houseofplants.co.uk/Resources/400temp/Sansevieria_kirkii.jpg,High
80,Senecio Herreianus,String of Beads,"A spreading and cascading houseplant threaded with succulent fleshy leaves which look like a string of beads. The leaves are up to 1 cm long and green with vertical, translucent lines. Flowers appear at various times of the year on tall stems as small, white and fuzzy daisies.",https://www.houseofplants.co.uk/Resources/400temp/Senecio-herreianus-string-of-beads-detail.jpg,High
81,Ceropegia Woodii,String of Hearts,This stunning evergreen succulent is a trailing vine that can spread up to 4 meters in length and 10cm in height. The leaves are shaped like hearts (hence the name) and are deep green with variegated silver markings. The stems are wire-thin and pinkish.,https://www.houseofplants.co.uk/Resources/400temp/Ceropegia_woodii_detail.jpg,High
82,Dischidia Nummularia,String of Nickels,"
                                                        A hard to find climbing houseplant with trailing strands of succulent, oval shaped leaves. It is an Epiphyte plant, meaning in the wild it will attach itself to trees or creep along branches, draping itself like curtains of green.",https://www.houseofplants.co.uk/Resources/400temp/Dischidia_nummularia_detail.jpg,Medium
83,Philodendron Scandens,Sweetheart Plant,"
                                                        Simple elegant heart shaped leaves adorn this easy to care for climbing interior plant. Will tolerate some cold and draughts so a great plant for that dark cold north facing room.
                                                    ",https://www.houseofplants.co.uk/Resources/400temp/Philodendron_Scandens_Moss_Stick_detail.jpg,High
84,Monstera Deliciosa,Swiss Cheese Plant,"Originally from the rain forests of Central and South America, where they climb up trees to reach higher light levels, consequently sturdy support is essential as stems can reach a height of 20' or more.",https://www.houseofplants.co.uk/Resources/400temp/Monstera_deliciosa_detail.jpg,High
85,Ficus Triangularis Variegata,Triangle Fig,"
                                                        One of the easiest indoor Figs. The unusual triangular leaves are quite thick and tough (shows it can take a bit of neglect/under-watering). We have had this species here at the nursery for years and have found it incredibly unfussy.",https://www.houseofplants.co.uk/Resources/400temp/Ficus-triangularis-sweetheart-close.jpg,High
86,Schefflera Arboricola,Umbrella Plant,"
                                                        A well-known houseplant popular for generations the umbrella plant is an easy plant for a brightish spot. The leaflets are arranged in a whirl around the leaf stem giving the plant its common name, the number of leaflets increases as the plant ages.",https://www.houseofplants.co.uk/Resources/400temp/Schefflera_Gold_3ppp_160cm.jpg,Medium
87,Calathea Rufibarba,Velvet Calathea,"
                                                        The most tactile of houseplants, the leaves do really feel like the softest velvet. The leaves are a rich green on the top and a dark burgandy underneath. Long and arching form, great for many interior design schemes.
                                                    ",https://www.houseofplants.co.uk/Resources/400temp/Calathea_rufibarba_detail.jpg,Low
88,Tradescantia Zebrina,Wandering Jew,"
                                                        This really is a colourful specimen, striking leaves of purple, shades of green and silver. The trailing habit of this plant gives a cascade of colour to any environment, maximizing on limited avaible space.
                                                    ",https://www.houseofplants.co.uk/Resources/400temp/Tradescantialeaf.jpg,Medium
89,Hoya Carnosa Tricolour,Wax Flower,"
                                                        Beautiful almond shaped leaves growing in long vines. Dark green with white and pink edges, stems and new leaves are bright pink. Another very very easy plant! The flowers are a lovely shade of pink and have a glorious scent.
                                                    ",https://www.houseofplants.co.uk/Resources/400temp/Hoya_carnosa_tricolour_detail.jpg,High
90,Ficus Benjamina,Weeping Fig,"
                                                        One of the best known and widely used houseplants. This is for a good reason, glossy leaves grow in profusion creating the classic indoor tree. Keep out of droughts and away from radiators to avoid the 'weeping' and keep the fig. Over winter it will need watering less frequently. 
                                                    ",https://www.houseofplants.co.uk/Resources/400temp/Ficus_benjamina_singlestem160cm.jpg,High
91,Aeschynanthus Marmoratus,Zebra Basket Vine,"
                                                        This is a lovely dark green trailing house plant with oval shaped leaves with wonderful detailing in purple. Perfect for hanging baskets. The foliage really is stunning enough but it also flowers.
                                                    ",https://www.houseofplants.co.uk/Resources/400temp/aeschynanthus-marmoratus-detail.jpg,High
92,Zamioculcas Zamifolia,ZZ Plant,"
                                                        Only recently has this plant been seen in the UK (Its name is heard even less!). Zamioculcas is beginning to find itself brought into offices by interior landscapers, probably due to its affinity with modern design.",https://www.houseofplants.co.uk/Resources/800temp/Zanzibar_zamiifolia_detail.jpg,High